date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,0
2017-02-20,8
2017-03-06,0
2017-03-13,0
2017-03-20,0
2017-03-27,24
2017-04-03,8
2017-04-10,16
2017-04-17,8
2017-04-24,8
2017-05-01,8
2017-05-08,24
2017-05-15,8
2017-05-22,0
2017-05-29,0
2017-06-05,41
2017-06-12,8
2017-06-19,0
2017-06-26,0
2017-07-03,0
2017-07-10,0
2017-07-17,0
2017-07-24,0
2017-07-31,8
2017-08-07,0
2017-08-14,0
2017-08-21,0
2017-08-28,9
2017-09-04,0
2017-09-11,0
2017-09-18,0
2017-09-25,9
2017-10-02,33
2017-10-09,8
2017-10-16,0
2017-10-23,33
2017-10-30,34
2017-11-06,17
2017-11-13,16
2017-11-20,0
2017-11-27,0
2017-12-04,41
2017-12-11,16
2017-12-18,8
2017-12-25,8
2018-01-01,0
2018-01-08,16
2018-01-15,0
2018-01-22,8
2018-01-29,0
2018-02-05,0
2018-02-12,0
2018-02-19,0
2018-03-05,25
2018-03-12,9
2018-03-19,41
2018-03-26,0
2018-04-02,16
2018-04-09,0
2018-04-16,24
2018-04-23,8
2018-04-30,8
2018-05-07,0
2018-05-14,0
2018-05-21,0
2018-05-28,0
2018-06-04,0
2018-06-11,0
2018-06-18,0
2018-06-25,8
2018-07-02,0
2018-07-09,8
2018-07-16,0
2018-07-23,16
2018-07-30,16
2018-08-06,0
2018-08-13,17
2018-08-20,0
2018-08-27,8
2018-09-03,25
2018-09-10,16
2018-09-17,8
2018-09-24,8
2018-10-01,41
2018-10-08,16
2018-10-15,16
2018-10-22,37
2018-10-29,41
2018-11-05,25
2018-11-12,33
2018-11-19,8
2018-11-26,24
2018-12-03,8
2018-12-10,8
2018-12-17,25
2018-12-24,25
2018-12-31,17
2019-01-07,24
2019-01-14,33
2019-01-21,8
2019-01-28,17
2019-02-04,16
2019-02-11,16
2019-02-18,8
2019-03-04,17
2019-03-11,16
2019-03-18,16
2019-03-25,17
2019-04-01,8
2019-04-08,0
2019-04-15,8
2019-04-22,8
2019-04-29,8
2019-05-06,25
2019-05-13,8
2019-05-20,8
2019-05-27,33
2019-06-03,101
2019-06-10,78
2019-06-17,58
2019-06-24,49
2019-07-01,57
2019-07-08,49
2019-07-15,33
2019-07-22,17
2019-07-29,24
2019-08-05,16
2019-08-12,0
2019-08-19,42
2019-08-26,50
2019-09-02,8
2019-09-09,17
2019-09-16,41
2019-09-23,17
2019-09-30,17
2019-10-07,33
2019-10-14,33
2019-10-21,8
2019-10-28,24
2019-11-04,33
2019-11-11,41
2019-11-18,17
2019-11-25,24
2019-12-02,25
2019-12-09,18
2019-12-16,0
2019-12-23,33
2019-12-30,0
2020-01-06,8
2020-01-13,0
2020-01-20,25
2020-01-27,8
2020-02-03,8
2020-02-10,16
2020-02-17,16
2020-03-02,33
2020-03-09,33
2020-03-16,33
2020-03-23,33
2020-03-30,33
2020-04-06,17
2020-04-13,17
2020-04-20,24
2020-04-27,8
2020-05-04,16
2020-05-11,9
2020-05-18,16
2020-05-25,41
2020-06-01,8
2020-06-08,41
2020-06-15,16
2020-06-22,16
2020-06-29,33
2020-07-06,41
2020-07-13,8
2020-07-20,17
2020-07-27,25
